,Name,Age,Ethnicity,City,County or Parish,State,Year,Accusation,Comment
0,"McIntosh, Francis",26,African-American,St. Louis,an independent city,Missouri,1836,"Arrested on charge of disturbing the peace, McIntosh stabbed the deputies who told him he would serve five years for the offense.","Burned alive. Lynching had broad local support. Reported on by abolitionist editor Elijah Lovejoy, who was soon lynched himself."
1,"Lovejoy, Elijah",35,White,Alton,Madison,Illinois,1837,Abolitionist newspaper editor and publisher,"Had moved to Alton to escape violence in St. Louis. Four successive printing presses destroyed. ""Not guilty"" verdict; jury foreman member of mob.[13]"
2,"Smith, Joseph (founder of Mormonism) and brother Hyrum Smith","38, 44",White,Carthage,Hancock,Illinois,1844,"Technically, treason against state of Illinois, but lynching was for religious views, especially plural marriage/polygamy.",In jail awaiting trial. Five men were tried and acquitted.
3,"Tucker, John",??,African American,Indianapolis,Marion,Indiana,1845,Unprovoked attack,[14]
4,Josefa Segovia,Adult,Latina,Downieville,Sierra,California,1851,Killing a white man,"She was found guilty of murdering a local miner, Frederick Cannon, a man who had attempted to assault her after he had broken into her home.[15]"
5,"Thomas, David",34,African-American,Denton,Caroline,Maryland,1854,Beating a white man to death,[16]
6,"Thompson, Bill Saul; Despano, Sloan",,African-American,Greensburg,Green,Kentucky,1858,"Alleged murder and robbery of wealthy white farmer, ""Mr. Simpson.""","Thompson and Despano were two of four men jailed for allegedly murdering a Mr. Simpson. A mob broke into the jail which was abandoned by the jailor. To avoid lynching, one of the four, Elias Scraggs, slit his own throat. Thompson and Despano were taken by the mob and hanged from a tree. After seeing Scraggs, Thompson and Despano die, a fourth man after ""a good deal of reluctance"" avoided lynching by implicating five others, including Simpson's own son-in-law, though the son-in-law was ""generally considered innocent.""[17]"
7,Adam,,African-American,Tampa,Hillsborough,Florida,1859,"In response to the murder of a white man, and ""in keeping with local custom, a slave man was selected to be killed in retribution"".","Adam was tried and convicted of the murder of a white man. He was represented by Ossian Hart, who appealed the conviction.  The Florida State Supreme Court declared a mistrial, following which a mob broke into the jail, seized Adam and hanged him.[18]: 269"
8,"Hamilton, Jacob",,African-American,Smyrna,Kent and New Castle,Delaware,1861,Believed to have assaulted a white woman in her home.,"While a trial was in progress, preparations to lynch the victim were made outside. When constables walked out with Hamilton, the crowd seized and hanged him.[19]"
9,Great Hanging at Gainesville (number > 16),Adult men,White,Gainesville,Cooke,Texas,1862,"Lynching, plus ""legal"" executions, of Union supporters by Confederate supporters","Many lynched before trial was concluded. Prosecution of perpetrators ""half-hearted""; only one convicted.[20][21]"
10,"Wilson, Jim",,African-American,Oakland,Caroline,Maryland,1862,Rape and murder of an eight year old white girl,[16]
11,Henry Plummer,31,White,Bannock,Beaverhead,Montana Territory,1864,Alleged leader of an outlaw gang.,A sheriff who was dragged from his house and lynched; the only evidence of his alleged crimes was in an account written by a lynch mob member to justify lynching; 130 years later Plummer was posthumously tried; the jury reached a split decision (six to six) and a mistrial was declared.[22]
12,"Campbell, John (Jack)",,Mixed race (White/Dakota)[23],Mankato,"Blue Earth, Nicollet, and Le Sueur",Minnesota,1865,Double murder,"Lynched by a mob after an extrajudicial ""trial"".[24][25]"
13,"Taylor, John",17,African-American,Mason,Ingham,Michigan,1866,Attempted murder of his employer's wife following a wage dispute,"Taylor was a former slave, and had been a teenage soldier for the Union. A mob dragged him from a jail, tortured him and hanged him from a tree, and mutilated and decapitated his body; no one was prosecuted. In 2018, a local park was named the ""John Taylor Memorial Park"" after him.[24][26]"
14,"Pippin, James",unknown,White,Church Hill or Centerville,Queen Anne's,Maryland,1867,"Tried for killing a merchant, but acquitted.","Angry about Pippin's acquittal, a mob of 20 people dragged him from under the floorboards of his father's house and hanged him.[27][28]"
15,"McLain, Tom",unknown,African-American,Coffeeville,Yalobusha,Mississippi,1868,Alleged murder of white overseer.,"A masked mob broke into the jail cell with sledge hammers, dragged McLain and Gilbert Quinn from the jail and hanged both from a gum tree with the same rope.[29][30]"
16,"Quinn, Gilbert",unknown,African-American,Coffeeville,Yalobusha,Mississippi,1868,Alleged accomplice to murder of white overseer.,"A masked mob broke into the jail cell with sledge hammers, dragged Quinn and Tom McLain from the jail and hanged both from a gum tree with the same rope.[29][30]"
17,"Bierfield, Samuel, Bowman, Lawrence",,"Jewish-American, African-American",Franklin,Williamson,Tennessee,1868,None,"A group of masked men appeared at both the rear and front doors of Samuel Bierfield's store. When he refused to open the back door, they broke in. He ran out the front, where he encountered the rest of the group. The masked men shot Bierfield five times. They mortally wounded his black clerk Lawrence Bowman, who had been with him at the store. Henry Morton, another black man, had been sitting and chatting with the pair and escaped without injury during the melee. Bierfield pleaded for his life on the street in front of his dry goods store but was shot to death by the masked men at close range."
18,"Moore, Isaac",unknown,African-American,Bel Air,Harford,Maryland,1868,Robbing a white woman of a sum of money.,"Moore was accused of having other ""nepharious designs"" not carried out after he was frightened away by the screams of the woman from whom he allegedly took money. Moore was before a magistrate when a crowd took him away and hanged him naked from a tree.[31]"
19,"Quinn, Jim",unknown,African-American,Jarrettsville,Harford,Maryland,1869,Assaulting a white woman,[32][33]
20,Two Mexicans,,Latino,Las Vegas,San Miguel,New Mexico,1870,Stealing groceries,"A group of masked men had taken the two Mexicans during the night, hanging them to a beem in the jail yard.[34]"
21,"Outlaw, Wyatt",49–50,African-American,Graham,Alamance,North Carolina,1870,Prominent local figure (no crime alleged),"Sixty-three indictments, but the North Carolina Legislature, to end their cases, repealed the law they were charged with violating.[35]"
