,Name,Age,Ethnicity,City,County or Parish,State,Year,Accusation,Comment
0,George and Ed Silsbee[137],,White,Fort Scott,Bourbon County,Kansas,"January 20, 1900",Murder,Taken from Jail and lynched[138]
1,"Watt, W.W.",,White,Newport News,an independent city,Virginia,1900,Assault,Shot[139]
2,"Gause, Anderson",,African-American,Henning,Lauderdale,Tennessee,1900,Helping two Black prisoners to escape who had killed two law officers.,Mr. Gause was hanged from a tree.[139][140][141]
3,"Pete, Dago",,African-American,Tutwiler,Tallahatchie,Mississippi,1900,Assaulted colored woman,Killed by African-American mob[139]
4,"Cotton, WalterO'Grady,Brandt",,African-AmericanWhite,,,Virginia,"March 24,1900",accused of Murder,Cotton killed by a white mob; O'Grady Killed by African-American mob[142]
5,"Lee, William",29,African-American,Hinton,Summers,West Virginia,1900,Assault on a white woman,[143]
6,"Porter, Preston",15,African-American,Limon,Colorado,Colorado,1900,Rape and murder of a 12 year old white girl,Burned alive by a mob[144]
7,"Alexander, Fred",22,African-American,Leavenworth,Leavenworth,Kansas,1901,Rape and murder allegations,Lynched and burned at stake[145]
8,"Berryman, Peter",45,African-American,Mena,Polk,Arkansas,1901,Sexual assault allegations,"Beaten, shot, and hung[146]"
9,"Estes, Siles",,African-American,Hodgenville,LaRue,Kentucky,1901,"""Forcing...a 15 year old boy...to commit a crime.""",Mr. Estes was taken from his jail cell at 2:00 a.m. by a mob of 50 or 75 persons and hanged in front of the courthouse.[147]
10,"Carter, George",,African-American,Paris,Bourbon,Kentucky,1901,"""Assaulting a white woman.""",[148]
11,"Ward, George",,African-American,Terre Haute,Vigo,Indiana,"February 26, 1901",Suspected of murder of a white woman,Struck in head with sledgehammer.  Hanged from bridge. Burned. Toes and hobnails from boots kept as souvenirs.[149]
12,Fred Rochelle,16,African-American,Bartow,Polk,Florida,1901,Murder and rape of a white woman,"Doused with kerosene and burned. Special train from Lakeland to see the ""barbecue""."
13,"Godley, William",,African-American,Pierce,Lawrence,Missouri,1901,Murder of a white woman,Mob subsequently went on a rampage in a nearby black community[150]
14,"Price, Manny,Scruggs, Robert",,African-American,Newberry,Alachua,Florida,1902,"Murder,suspected accomplice","Taken by mob on way to jail, hanged and shot.[108]"
15,Unknown,,African-American,"Savannah, Georgia",,Georgia,"April 16, 1902",Accused of assaulting white woman and killing her son,"Suspect Richard Young was sought on March 27, 1902, injuring Mrs Fountain and mortally injuring her son Dower Fountain.[151] Victim was hanged and burned in a swamp[152][153] However victim was not suspect Richard Young-since Richard Young and accomplice James Stewart were captured, tried and sentenced to prison in June 1902[154]"
16,"Gillespie, James and Harrison","10, 14",African-American,Salisbury,Rowan,North Carolina,1902,Murder of a white woman,Two brothers were accused of stoning a neighbor to death. Hanged by a mob of an estimated 400 persons and their bodies shot dozens of times.[155]
17,"Yellow Wolf, John",,Native-American,Deadwood,Lawrence,South Dakota,1902,Horse stealing,"After being released from jail, he was given a worthless horse and saddle, while on his way to the reservation he grew up in, he spotted a young horse that he wanted. A group of men took over Yellow Wolf and hung him from a tree near white river.[156]"
18,"Carter, James",,African-American,Amherst,Amherst,Virginia,1902,Unknown,[157]
19,"Craven, Charles",,African-American,Leesburg,Loudoun,Virginia,1902,Assault,[97]
20,"Brown Curtis, and Burley, Garfield",,African American,"Newbern, Tennessee",,Tennessee,"Oct 8,1902",One confessed to Murder of a white man and claimed the other was accomplice,[158]
21,"Dillard, James",?,African American,Sullivan,Sullivan,Indiana,November 1902,Accused of sexually assaulting two white women,[159]
22,Vazquez and Unknown Mexican,"17, unknown",Latino,Huachuca Mountains,Cochise,Arizona,1903,Stealing Cattle and Skinning stolen beef,Vazquez was found hanging from the tree and was suspected to be one of the Mexicans stealing Cattle from the Ranch of Will Parker who discovered the 17 year old. Three Mexicans were also caught near by skinning stolen beef which they tried to escape arrest but one of the Mexicans who did was fatally shot.[160]
23,"Steers, Jennie",Adult,African-American,rural area near Shreveport,Caddo,Louisiana,1903,Poisoning daughter of a planter,[161]: 70
24,"Malone,""Rev"" D.W.",50,,"Wardell, Missouri","Pemiscot County, Missouri",Missouri,"May 3, 1903",Suspect had been arrested for living with woman not his wife,When mob burned the man's house down Constable W. J. Monneyhan placed man under arrest in his own home to protect him. Officer was killed by mob who then shot and killed prisoner.[162][163][164]
25,"Jarvis, Washington",25,White,Madison,Madison,Florida,"May 20, 1903",Accused of murdering his cousin.,[165]
26,Unknown,,African-American,"St Louis, Missouri",St Louis County,Missouri,June 1903,Assaulted African American woman and a white girl,Hanged on tripod[166][167]
27,"White, George",Adult,African-American,Wilmington,New Castle,Delaware,"June 23, 1903",Accused of sexually assaulting and stabbing to death an 18-year-old girl,Taken from the city jail by a mob and burned alive.[168]
28,"Gorman, Jim and Walters, J.P.",,,"Basin, Wyoming","Big Horn County, Wyoming",Wyoming,"July 19, 1903",each accused of a Murder,Deputy Sheriff C. E. Pierce was killed by mob who then shot the prisoners[169][170]
29,"Surasky, Abraham",30,Jewish-American,rural area near Aiken,Aiken,South Carolina,"July 29, 1903",Being a Jewish-American peddler who was helping the murderer's wife carry some things to her house.,Murdered by gun and ax  an antisemitic murder.[171]
